,Topic,Word,P
0,0,islam,0.040154051035642624
1,0,nikah,0.02609854005277157
2,0,sholat,0.022381814196705818
3,0,anak,0.021338477730751038
4,0,seputar,0.02110779471695423
5,0,syiah,0.020659413188695908
6,0,membaca_al,0.01962469331920147
7,0,sahabat,0.019241517409682274
8,0,hukum,0.01876792125403881
9,0,syarat,0.018598834052681923
10,1,hadits_dhaif,0.029954660683870316
11,1,tangan,0.02543722465634346
12,1,wa_sallam,0.0207847747951746
13,1,hukum,0.018531441688537598
14,1,non_muslim,0.018151994794607162
15,1,shahih,0.017755648121237755
16,1,bulan,0.01569339446723461
17,1,bulan_ramadhan,0.01567281410098076
18,1,dhaif,0.015489283949136734
19,1,bidah,0.015194113366305828
20,2,hadits_lemah,0.07883039116859436
21,2,manhaj,0.037723105400800705
22,2,hadits_palsu,0.031049303710460663
23,2,syariat,0.027671370655298233
24,2,hadits,0.02719915099442005
25,2,allah,0.022278454154729843
26,2,salaf,0.022103672847151756
27,2,cara,0.02145642228424549
28,2,lemah,0.02115865983068943
29,2,manhaj_salaf,0.019967973232269287
30,3,hukum,0.09482908993959427
31,3,shalat,0.06053132191300392
32,3,hadits,0.04724773019552231
33,3,hadits_palsu,0.03059266321361065
34,3,keutamaan,0.023091865703463554
35,3,ulama,0.021350400522351265
36,3,sunnah,0.02089567668735981
37,3,wanita,0.02017352543771267
38,3,nabi,0.016751378774642944
39,3,fatwa_ulama,0.015593092888593674
40,4,orang,0.041668470948934555
41,4,puasa,0.03140895441174507
42,4,orang_kafir,0.030775131657719612
43,4,hadits,0.0270945206284523
44,4,kafir,0.025832824409008026
45,4,ilmu,0.02462153695523739
46,4,makna,0.021819807589054108
47,4,wudhu,0.018842419609427452
48,4,tanda,0.01697266846895218
49,4,menuntut_ilmu,0.01627763919532299
50,5,hadits,0.07272305339574814
51,5,al_quran,0.03180783614516258
52,5,jamaah,0.023615045472979546
53,5,hari,0.02192225307226181
54,5,ahlus_sunnah,0.020967386662960052
55,5,malam,0.020774731412529945
56,5,masjid,0.019733302295207977
57,5,zakat,0.019168434664607048
58,5,shalat,0.01714443415403366
59,5,sunnah,0.017017748206853867
